   2196,    886,  -2882
   1014,   -567,  -3850
  -1989,   -979,  -2313
  -4003,    -36,    911
  -3174,   1598,   2218
   -435,   1688,   2345
   1139,   2190,   1436
   2337,   1635,   -783
   2527,    920,  -2742
   1307,   1199,  -3271
   2559,   2667,    188
    759,   3171,   1606
   -337,   1718,   2204
  -2405,  -1039,   1474
   -674,   3383,  -3563
    398,    889,  -3895
   1136,    294,  -1981
   1972,   3462,   1171
   -901,   2848,   2426
  -2544,   3525,   1012
  -2706,   3395,  -2022
  -1276,    248,  -4315
  -2860,   2646,   -653
  -2742,    137,   2465
   -667,   -141,   2326
     54,     -2,   1670
   2125,   1564,    206
   2508,   2703,  -2421
    613,   2242,  -3808
  -2912,    624,  -2767
  -4115,  -1482,   -993
   -196,   1167,   1936
   1366,   2577,   1080
   2224,   1634,   -663
   2316,   1449,  -3182
    521,   -223,  -3133
   2597,   2760,    126
   1307,   1893,   1778
   -887,   1465,   2581
  -3401,   -417,    642
    262,   3544,  -3113
   1393,   2365,  -2603
     38,   -847,  -3529
  -3993,   1193,   -153
  -1778,   2189,   2309
    497,   3434,   1174
   1404,   3083,   -652
   2509,   1206,  -1384
   2315,   1786,  -2659
   2342,   2114,   -516
   1641,   3783,    253
    595,   2654,   1427
   -695,   1442,   2354
  -4032,     35,  -2343
  -1875,   2786,  -3958
    216,   3351,  -2832
   1827,   2589,  -1146
   1464,   3615,    984
    -71,   3539,   1377
   -622,   4262,   1009
   -204,   4399,   -768
    642,   3254,   -795
    884,    808,  -4088
  -2860,    423,  -2439
  -4321,    944,   -362
  -3391,    733,   2065
   -149,   4045,    629
    575,   4303,   -654
    410,   3801,   -991
   1925,   2546,   -743
   1174,   1726,   1434
   -435,   -641,   2160
  -3458,  -1204,   -711
  -1840,   1676,  -4145
   -442,   3405,  -3379
   1871,    317,  -2314
    783,  -2102,  -2530
  -2279,  -1545,    235
  -1631,   1086,   2376
    386,   4103,    335
    846,   3302,    133
   2315,    690,   -997
   2283,   1971,  -2538
   2116,   1563,  -2221
   1916,   3590,     90
    916,   2572,   1126
    218,   1333,   2387
  -1695,   2794,   1915
  -3892,   1711,  -3280
   -589,   2946,  -3281
   1415,   2494,  -2133
   2261,   2934,   -181
    548,   1165,   2048
  -1495,   -632,   1933
  -3099,   -905,  -1777
   -267,   2255,  -3812
   1756,   2317,  -1814
   2416,   3087,    278
    804,   4495,   -340
    677,   1192,   -368
   1193,   -202,   1823
  -2776,   1520,   1261
  -4379,    486,  -2371
  -1299,   1717,  -4053
   1871,   1648,  -2069
   1308,   3370,    574
    771,   1553,   2083
  -1057,   1906,   2431
  -1210,   3086,   1978
   -152,   3865,   1111
   2101,    -14,    -99
   2103,   1369,  -2599
   1286,   3154,  -3155
   1426,   1534,  -2717
   1895,   3781,   -299
   1148,   2374,   1131
    137,    894,   2462
  -2188,   1304,   2066
  -3056,   4200,  -1071
  -1366,   3835,  -1691
  -3368,   1225,   -994
  -4252,    259,    831
  -3550,    585,   1638
  -1993,    326,   2294
    737,   3153,   1633
   1111,   3505,    523
   2098,    413,   -252
   1385,   1495,  -3936
  -1084,    974,  -4169
   1125,   1809,  -2847
   2586,   2682,   -208
   1538,   3747,    553
   -926,  -1309,   2017
  -1336,  -1091,    640
    763,   2880,   2018
    207,   4256,    459
    627,   3323,   -685
   2440,   1843,  -1538
   2049,   2018,  -3371
   -486,   1826,  -3995
  -1551,   1721,  -4111
   1719,   2569,  -2019
   2395,   2419,   -362
   1974,   3353,    467
   1053,   3064,    897
   -376,   1022,   2179
    464,   3946,   1447
   -134,   4445,   -223
   -187,   4340,   -996
   2555,   1731,  -1361
   2026,   2683,  -3281
    504,   3098,  -3140
   1564,   2366,  -2372
   1716,   4202,   -251
    706,   3337,     86
    838,    728,   2099
     45,   -511,   1849
    319,  -2047,    411
   1847,   2687,  -2049
   2321,   2544,  -1396
   2197,   3366,   -105
   1338,   4005,   -354
    659,   2657,    397
   2450,   1105,   -607
   2400,   1456,  -3033
   -563,   1590,  -3938
  -2619,   2874,  -2911


  -1592,  -2191,  -1833
